Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
215,0,-0.75,-0.625,-0.05419922,0.03857422,0.9790039,0.02685547,0.1918945,-0.6835938
216,-0.375,-1.125,-0.25,-0.06201172,0.03466797,0.9829102,0.02685547,0.1918945,-0.6835938
217,0,-0.875,-0.4375,-0.07373047,0.04248047,0.9790039,0.02197266,0.1967773,-0.6962891
218,0.3125,-1.5625,-0.25,-0.05810547,0.03857422,0.9790039,0.02197266,0.1967773,-0.6962891
219,0,-1.25,-0.125,-0.06982422,0.05419922,0.9711914,0.02197266,0.1967773,-0.6962891
220,0,-1.625,-0.3125,-0.08154297,0.04248047,0.9672852,0.02197266,0.1967773,-0.6962891
221,-0.3125,-1.25,-0.625,-0.05029297,0.03076172,0.9829102,0.02685547,0.1967773,-0.6933594
222,0.1875,-1.375,-0.0625,-0.05810547,0.04248047,0.9633789,0.02685547,0.1967773,-0.6933594
223,-0.75,-1.5625,0,-0.08154297,0.03076172,0.9829102,0.02685547,0.1967773,-0.6933594
224,-0.4375,-2.125,-0.375,-0.04638672,0.03857422,0.9907227,0.02441406,0.1933594,-0.6850586
225,-0.25,-1.5,0,-0.05810547,0.05029297,0.9438477,0.02441406,0.1933594,-0.6850586
226,-0.5,-1.1875,-0.125,-0.06201172,0.05029297,0.9868164,0.02441406,0.1933594,-0.6850586
227,-0.25,-1.8125,0,-0.05029297,0.01513672,0.9711914,0.02099609,0.2001953,-0.6850586
228,-0.125,-1.25,-0.9375,-0.05810547,0.03857422,0.9672852,0.02099609,0.2001953,-0.6850586
229,-0.3125,-0.9375,-0.125,-0.05810547,0.03466797,0.9672852,0.02099609,0.2001953,-0.6850586
230,-0.3125,-1.375,-1.1875,-0.05810547,0.02685547,0.9750977,0.02099609,0.2001953,-0.6850586
231,-0.3125,-0.9375,-0.3125,-0.05419922,0.05029297,0.9711914,0.03027344,0.1943359,-0.6875
232,-0.5,-0.875,-0.25,-0.05810547,0.03466797,0.9672852,0.03027344,0.1943359,-0.6875
233,0,-0.6875,-0.4375,-0.06591797,0.01123047,0.9672852,0.03027344,0.1943359,-0.6875
234,-0.1875,-0.8125,-0.0625,-0.05029297,0.03076172,0.9750977,0.02539063,0.1933594,-0.6918945
235,0.4375,-0.8125,-1,-0.06591797,0.03076172,0.9868164,0.02539063,0.1933594,-0.6918945
236,0.1875,-0.625,-0.4375,-0.07373047,0.04248047,0.9750977,0.02539063,0.1933594,-0.6918945
237,0.3125,-0.625,-0.6875,-0.05029297,0.04248047,0.9829102,0.02099609,0.1933594,-0.6904297
238,0,-0.625,-0.375,-0.04638672,0.05029297,0.9868164,0.02099609,0.1933594,-0.6904297
239,-0.3125,-0.375,-0.4375,-0.05419922,0.01123047,0.9555664,0.02099609,0.1933594,-0.6904297
240,0,-0.375,-0.375,-0.04248047,0.03466797,0.9633789,0.02099609,0.1933594,-0.6904297
241,0.375,-0.5,-0.5,-0.05810547,0.03076172,0.9672852,0.02197266,0.1967773,-0.6850586
242,0,0.1875,-0.625,-0.06201172,0.05029297,0.9555664,0.02197266,0.1967773,-0.6850586
243,0.5625,0,-0.75,-0.05419922,0.05419922,0.9477539,0.02197266,0.1967773,-0.6850586
244,0.5,0.1875,-0.6875,-0.05419922,0.04638672,0.9516602,0.01855469,0.1967773,-0.6821289
245,0.6875,-0.25,-0.625,-0.06201172,0.02685547,0.9829102,0.01855469,0.1967773,-0.6821289
